
 PLE train 1.00 lambda 

El 1: loss 797.7152, tacc 355.3562, cvacc 356.7830
El 2: loss 45.3814, tacc 34.2182, cvacc 35.2346
El 3: loss 39.1392, tacc 25.6690, cvacc 25.9875
El 4: loss 32.8708, tacc 24.6345, cvacc 26.4362
El 5: loss 35.3138, tacc 27.4766, cvacc 25.2412
El 6: loss 33.2813, tacc 25.6300, cvacc 27.2693
El 7: loss 34.7273, tacc 27.2415, cvacc 27.6621
El 8: loss 37.8621, tacc 30.5082, cvacc 32.0531
El 9: loss 32.9511, tacc 25.3913, cvacc 25.1926
El 10: loss 32.7605, tacc 25.2699, cvacc 25.1736
El 11: loss 33.2390, tacc 25.7050, cvacc 25.3289
El 12: loss 32.7593, tacc 25.3453, cvacc 26.5021
El 13: loss 36.1826, tacc 28.5225, cvacc 27.0575
El 14: loss 34.4759, tacc 26.6623, cvacc 25.8273
El 15: loss 32.8359, tacc 25.1957, cvacc 25.5811
El 16: loss 43.8423, tacc 36.5504, cvacc 34.4821
El 17: loss 31.1818, tacc 23.4903, cvacc 25.1387
El 18: loss 39.3138, tacc 30.5774, cvacc 31.0525
El 19: loss 57.7001, tacc 47.3592, cvacc 46.5587
El 20: loss 61.7962, tacc 24.6142, cvacc 25.4885
El 21: loss 33.0446, tacc 25.4888, cvacc 27.2140
El 22: loss 32.5347, tacc 24.9098, cvacc 26.8945
El 23: loss 33.6756, tacc 26.0879, cvacc 27.8760
El 24: loss 32.2014, tacc 24.6404, cvacc 25.0504
El 25: loss 34.8068, tacc 27.5523, cvacc 27.6691
El 26: loss 32.2104, tacc 24.9627, cvacc 25.6397
El 27: loss 32.7086, tacc 25.4105, cvacc 25.2132
El 28: loss 37.5573, tacc 30.1219, cvacc 29.6935
El 29: loss 34.4923, tacc 27.0885, cvacc 26.1282
El 30: loss 32.4965, tacc 25.1940, cvacc 25.1960
El 31: loss 32.7924, tacc 25.3708, cvacc 25.3365
El 32: loss 32.7721, tacc 25.3139, cvacc 25.1324
           Current learning rate 9.6000e-03
El 33: loss 33.8495, tacc 25.7772, cvacc 25.0749
           Current learning rate 9.2160e-03
El 34: loss 31.7851, tacc 24.4787, cvacc 25.2460
El 35: loss 31.5713, tacc 24.0626, cvacc 25.2917
El 36: loss 31.7017, tacc 24.5439, cvacc 25.7685
El 37: loss 32.2785, tacc 25.0845, cvacc 25.0281
El 38: loss 32.1015, tacc 24.9724, cvacc 25.8778
El 39: loss 32.7520, tacc 25.5371, cvacc 25.2059
El 40: loss 33.1702, tacc 25.9215, cvacc 26.9125
El 41: loss 31.7991, tacc 24.6116, cvacc 24.9628
           Current learning rate 8.8474e-03
El 42: loss 32.7993, tacc 25.6325, cvacc 24.9539
El 43: loss 38.7057, tacc 31.3664, cvacc 30.7998
El 44: loss 32.8021, tacc 25.6546, cvacc 25.5792
El 45: loss 32.9353, tacc 25.5698, cvacc 25.0657
El 46: loss 32.2851, tacc 24.6758, cvacc 25.3724
El 47: loss 37.5755, tacc 30.2920, cvacc 30.0351
El 48: loss 44.4181, tacc 37.5027, cvacc 38.7133
El 49: loss 33.2823, tacc 26.1305, cvacc 25.2169
El 50: loss 30.4071, tacc 23.0428, cvacc 25.0798
El 51: loss 36.3532, tacc 29.0630, cvacc 28.8542
El 52: loss 31.9902, tacc 24.6735, cvacc 25.0969
El 53: loss 32.9187, tacc 25.5639, cvacc 24.9825
El 54: loss 34.5648, tacc 27.3595, cvacc 24.9085
El 55: loss 32.5677, tacc 25.3586, cvacc 25.3771
El 56: loss 35.6715, tacc 28.6034, cvacc 27.8868
El 57: loss 31.2868, tacc 24.0260, cvacc 25.3333
El 58: loss 33.4832, tacc 26.3398, cvacc 25.8363
El 59: loss 34.1211, tacc 27.1067, cvacc 27.8793
El 60: loss 32.9486, tacc 25.8033, cvacc 24.8734
El 61: loss 32.6465, tacc 25.4434, cvacc 26.6590
El 62: loss 35.4322, tacc 26.7949, cvacc 26.6278
El 63: loss 33.8401, tacc 26.6499, cvacc 26.8688
El 64: loss 33.9058, tacc 26.5850, cvacc 25.8092
El 65: loss 34.8610, tacc 27.5550, cvacc 28.4612
El 66: loss 33.9133, tacc 26.5559, cvacc 25.0081
El 67: loss 42.7848, tacc 35.3228, cvacc 35.7405
El 68: loss 35.4961, tacc 25.5985, cvacc 25.2332
           Current learning rate 8.4935e-03
El 69: loss 70.5377, tacc 24.2668, cvacc 27.3248
El 70: loss 31.2311, tacc 23.7865, cvacc 25.0074
El 71: loss 34.4446, tacc 27.3321, cvacc 26.1746
El 72: loss 33.9555, tacc 26.9279, cvacc 25.6322
El 73: loss 32.9054, tacc 25.8877, cvacc 26.8036
El 74: loss 34.1730, tacc 27.2401, cvacc 27.4293
El 75: loss 31.3551, tacc 24.2951, cvacc 25.1270
El 76: loss 32.3223, tacc 25.3571, cvacc 25.5088
El 77: loss 31.7255, tacc 24.6669, cvacc 25.2839
El 78: loss 32.2021, tacc 25.1434, cvacc 25.8058
El 79: loss 30.9563, tacc 23.8902, cvacc 24.9233
El 80: loss 34.1738, tacc 27.2250, cvacc 26.8182
El 81: loss 32.6236, tacc 25.7098, cvacc 27.2558
El 82: loss 33.2266, tacc 26.2757, cvacc 28.0468
El 83: loss 33.7292, tacc 26.6796, cvacc 25.0624
El 84: loss 31.8911, tacc 24.8203, cvacc 24.8428
El 85: loss 32.9012, tacc 25.8339, cvacc 26.2899
El 86: loss 31.8399, tacc 24.8228, cvacc 24.7939
El 87: loss 31.9341, tacc 24.9448, cvacc 25.0499
El 88: loss 32.4938, tacc 25.4822, cvacc 25.9020
El 89: loss 30.8628, tacc 23.8704, cvacc 25.1984
El 90: loss 37.3834, tacc 30.2802, cvacc 30.2365
El 91: loss 35.1937, tacc 28.1245, cvacc 26.4542
El 92: loss 37.3644, tacc 30.4832, cvacc 28.6728
El 93: loss 34.3437, tacc 27.4684, cvacc 27.2556
El 94: loss 31.0723, tacc 24.1500, cvacc 25.2243
El 95: loss 32.4122, tacc 25.4731, cvacc 24.8041
El 96: loss 33.3092, tacc 26.3933, cvacc 24.7990
El 97: loss 30.2974, tacc 23.3931, cvacc 24.7972
           Current learning rate 8.1537e-03
El 98: loss 30.7494, tacc 23.8713, cvacc 25.0698
El 99: loss 31.5672, tacc 24.5735, cvacc 24.8593
El 100: loss 33.2540, tacc 26.3435, cvacc 25.9548
El 101: loss 41.0428, tacc 32.2569, cvacc 30.7144
El 102: loss 61.7864, tacc 26.6150, cvacc 26.0003
           Current learning rate 7.8276e-03
El 103: loss 31.2119, tacc 24.0062, cvacc 24.8792
El 104: loss 31.5386, tacc 24.5512, cvacc 24.7789
El 105: loss 34.7655, tacc 27.8889, cvacc 26.9330
El 106: loss 30.8868, tacc 23.8567, cvacc 24.7280
El 107: loss 34.2327, tacc 27.3752, cvacc 26.0331
El 108: loss 33.5214, tacc 26.6486, cvacc 25.0360
El 109: loss 32.0209, tacc 25.1354, cvacc 24.7780
El 110: loss 33.4509, tacc 26.5348, cvacc 24.9114
El 111: loss 32.8552, tacc 26.0731, cvacc 27.6069
El 112: loss 31.6345, tacc 24.7713, cvacc 24.7936
El 113: loss 31.5436, tacc 24.7232, cvacc 25.3722
El 114: loss 33.8443, tacc 27.0498, cvacc 26.1998
El 115: loss 32.1029, tacc 25.1911, cvacc 26.1105
El 116: loss 31.1352, tacc 24.2859, cvacc 24.7293
El 117: loss 32.2563, tacc 25.4028, cvacc 24.6954
El 118: loss 32.3857, tacc 25.5649, cvacc 25.7947
El 119: loss 35.4907, tacc 28.5813, cvacc 26.7573
El 120: loss 30.5491, tacc 23.7177, cvacc 24.6858
El 121: loss 33.7151, tacc 26.8424, cvacc 25.2306
           Current learning rate 7.5145e-03
El 122: loss 33.7119, tacc 26.8322, cvacc 25.6780
El 123: loss 32.4489, tacc 25.5868, cvacc 24.6690
El 124: loss 31.0306, tacc 24.2396, cvacc 25.0192
El 125: loss 32.4288, tacc 25.6844, cvacc 26.5106
El 126: loss 33.9122, tacc 27.0863, cvacc 24.6342
El 127: loss 34.3796, tacc 27.6270, cvacc 26.3316
El 128: loss 30.6683, tacc 23.8406, cvacc 24.8801
El 129: loss 32.6408, tacc 25.7544, cvacc 25.2925
El 130: loss 32.8064, tacc 26.0285, cvacc 26.0110
El 131: loss 32.8216, tacc 26.0026, cvacc 25.3312
El 132: loss 37.2426, tacc 30.2674, cvacc 30.5701
El 133: loss 32.1925, tacc 25.2013, cvacc 24.8335
El 134: loss 32.4116, tacc 25.6212, cvacc 24.6340
El 135: loss 31.4814, tacc 24.6549, cvacc 25.1171
El 136: loss 31.8002, tacc 24.9200, cvacc 24.6306
El 137: loss 31.6722, tacc 24.8735, cvacc 24.9483
El 138: loss 31.5706, tacc 24.7934, cvacc 24.6531
El 139: loss 33.0255, tacc 26.2784, cvacc 25.1544
El 140: loss 32.7825, tacc 26.0434, cvacc 25.4629
El 141: loss 31.8036, tacc 24.9932, cvacc 25.7934
El 142: loss 33.6518, tacc 26.7222, cvacc 25.5519
El 143: loss 33.4332, tacc 26.6461, cvacc 24.7501
El 144: loss 31.8117, tacc 24.8049, cvacc 24.8070
El 145: loss 31.4202, tacc 24.6252, cvacc 24.7015
El 146: loss 33.0174, tacc 26.3044, cvacc 25.4073
El 147: loss 37.9764, tacc 31.0258, cvacc 29.3305
El 148: loss 30.0445, tacc 23.1621, cvacc 24.6261
El 149: loss 32.7754, tacc 25.9816, cvacc 24.5916
El 150: loss 32.8857, tacc 25.9913, cvacc 24.9967
El 151: loss 32.4650, tacc 25.6760, cvacc 25.2908
El 152: loss 32.7889, tacc 26.1154, cvacc 25.9874
El 153: loss 30.7527, tacc 23.8458, cvacc 24.6505
El 154: loss 31.4353, tacc 24.3960, cvacc 24.5959
El 155: loss 39.1659, tacc 32.2324, cvacc 31.6794
El 156: loss 31.1559, tacc 24.2185, cvacc 25.1976
El 157: loss 32.7060, tacc 25.7844, cvacc 25.7090
El 158: loss 31.4486, tacc 24.5463, cvacc 24.5991
El 159: loss 32.4370, tacc 25.3488, cvacc 24.7418
El 160: loss 31.1773, tacc 24.3026, cvacc 25.5561
El 161: loss 33.4478, tacc 26.6970, cvacc 25.9775
El 162: loss 32.1284, tacc 25.2747, cvacc 24.6563
El 163: loss 31.7670, tacc 24.8482, cvacc 24.8844
El 164: loss 32.5077, tacc 24.8640, cvacc 24.6393
El 165: loss 31.9492, tacc 24.8368, cvacc 24.5537
El 166: loss 33.0259, tacc 26.0330, cvacc 24.9439
El 167: loss 31.5701, tacc 24.9077, cvacc 24.6866
El 168: loss 32.4194, tacc 25.7161, cvacc 24.6856
El 169: loss 30.8284, tacc 24.1311, cvacc 24.9768
El 170: loss 31.7326, tacc 25.0764, cvacc 24.6043
El 171: loss 29.7928, tacc 23.0188, cvacc 24.5315
           Current learning rate 7.2139e-03
El 172: loss 30.3130, tacc 23.4893, cvacc 24.7968
El 173: loss 31.5009, tacc 24.8089, cvacc 24.6064
           Current learning rate 6.9253e-03
El 174: loss 31.6635, tacc 24.8218, cvacc 24.5260
El 175: loss 33.4204, tacc 26.6407, cvacc 25.8393
El 176: loss 32.9190, tacc 26.2344, cvacc 24.7774
El 177: loss 33.2635, tacc 26.5762, cvacc 25.6438
El 178: loss 31.3410, tacc 24.4114, cvacc 24.6952
El 179: loss 31.5199, tacc 24.5300, cvacc 24.7470
El 180: loss 30.7888, tacc 24.1652, cvacc 25.2082
El 181: loss 32.0265, tacc 25.2059, cvacc 25.3924
El 182: loss 30.8621, tacc 24.2052, cvacc 24.7714
           Current learning rate 6.6483e-03
El 183: loss 33.6669, tacc 26.6659, cvacc 27.0814
El 184: loss 30.0250, tacc 23.3769, cvacc 24.6505
El 185: loss 32.2006, tacc 25.5874, cvacc 24.6763
El 186: loss 31.5813, tacc 25.0246, cvacc 24.9308
El 187: loss 28.7343, tacc 22.1235, cvacc 24.4579
El 188: loss 30.5574, tacc 23.4539, cvacc 24.4805
El 189: loss 31.7830, tacc 25.1165, cvacc 24.4721
El 190: loss 33.1204, tacc 26.3671, cvacc 27.7417
El 191: loss 163.0049, tacc 58.5663, cvacc 57.5220
El 192: loss 31.6548, tacc 24.5092, cvacc 24.5740
El 193: loss 31.4057, tacc 24.6914, cvacc 25.2109
El 194: loss 30.1174, tacc 23.4819, cvacc 24.6700
El 195: loss 31.8664, tacc 25.2230, cvacc 25.4847
El 196: loss 30.1977, tacc 23.6108, cvacc 24.4694
El 197: loss 31.0958, tacc 24.4793, cvacc 25.3456
El 198: loss 30.8643, tacc 24.2949, cvacc 24.5194
El 199: loss 32.2521, tacc 25.6866, cvacc 24.6083
El 200: loss 30.2017, tacc 23.6398, cvacc 24.6396
El 201: loss 33.1723, tacc 26.6759, cvacc 25.4018
El 202: loss 33.4514, tacc 26.8191, cvacc 27.8457
El 203: loss 30.8680, tacc 24.3040, cvacc 24.9258
El 204: loss 29.2068, tacc 22.6617, cvacc 24.4435
El 205: loss 31.3981, tacc 24.8731, cvacc 24.5694
El 206: loss 31.5977, tacc 25.1528, cvacc 26.0307
El 207: loss 31.8308, tacc 25.3604, cvacc 24.9555
El 208: loss 32.8616, tacc 26.3500, cvacc 24.7063
El 209: loss 31.6458, tacc 25.1364, cvacc 24.4450
El 210: loss 35.7953, tacc 29.3515, cvacc 26.3860
El 211: loss 32.6065, tacc 26.1791, cvacc 26.9324
El 212: loss 32.2167, tacc 25.7013, cvacc 24.6776
El 213: loss 29.2397, tacc 22.7634, cvacc 24.4659
El 214: loss 33.7352, tacc 27.2858, cvacc 25.3604
El 215: loss 30.3974, tacc 23.8480, cvacc 24.6157
El 216: loss 30.6841, tacc 24.1926, cvacc 24.5060
El 217: loss 29.9931, tacc 23.5234, cvacc 24.4542
           Current learning rate 6.3824e-03
El 218: loss 30.5771, tacc 24.1307, cvacc 24.7989
El 219: loss 29.9724, tacc 23.5068, cvacc 24.4033
El 220: loss 32.4516, tacc 26.0164, cvacc 24.6837
El 221: loss 32.4357, tacc 25.9580, cvacc 24.4216
           Current learning rate 6.1271e-03
El 222: loss 29.4913, tacc 23.0257, cvacc 24.3958
El 223: loss 29.8576, tacc 23.3734, cvacc 24.4170
El 224: loss 34.0798, tacc 27.6902, cvacc 25.5442
El 225: loss 30.8480, tacc 24.3128, cvacc 24.4287
El 226: loss 33.0163, tacc 26.4981, cvacc 25.5214
El 227: loss 33.5961, tacc 27.2186, cvacc 25.4763
El 228: loss 31.1739, tacc 24.7142, cvacc 24.5352
El 229: loss 29.9284, tacc 23.4193, cvacc 24.5323
El 230: loss 32.7567, tacc 26.2707, cvacc 25.5847
El 231: loss 35.3449, tacc 28.9712, cvacc 25.8045
El 232: loss 31.0398, tacc 24.5733, cvacc 24.9363
El 233: loss 33.7650, tacc 27.3123, cvacc 26.7846
El 234: loss 32.0014, tacc 25.5087, cvacc 24.5298
El 235: loss 30.9367, tacc 24.4586, cvacc 25.4895
El 236: loss 29.8860, tacc 23.4025, cvacc 24.4086
El 237: loss 32.9915, tacc 26.1899, cvacc 24.5745
El 238: loss 33.3074, tacc 26.8854, cvacc 24.3977
El 239: loss 33.0772, tacc 26.7436, cvacc 25.7884
El 240: loss 31.0857, tacc 24.7052, cvacc 24.3559
El 241: loss 30.5712, tacc 24.0591, cvacc 24.3314
           Current learning rate 5.8820e-03
El 242: loss 29.7118, tacc 23.3004, cvacc 24.3735
El 243: loss 31.5868, tacc 25.1605, cvacc 25.1776
El 244: loss 30.8292, tacc 24.4242, cvacc 24.6558
El 245: loss 30.3395, tacc 23.9776, cvacc 24.4785
El 246: loss 29.9382, tacc 23.5923, cvacc 24.4805
El 247: loss 30.5960, tacc 24.2300, cvacc 24.3308
El 248: loss 30.4908, tacc 24.0900, cvacc 24.5327
El 249: loss 30.4050, tacc 23.9819, cvacc 24.4729
El 250: loss 32.4165, tacc 25.2708, cvacc 24.3209
El 251: loss 28.9227, tacc 22.4193, cvacc 24.3295
El 252: loss 34.1602, tacc 27.2336, cvacc 28.3090
El 253: loss 36.5361, tacc 29.1589, cvacc 29.2095
El 254: loss 30.0423, tacc 23.5733, cvacc 24.6980
El 255: loss 31.2169, tacc 24.6589, cvacc 24.7294
El 256: loss 31.2125, tacc 24.7303, cvacc 24.7479
El 257: loss 32.8680, tacc 26.3638, cvacc 26.8941
El 258: loss 30.2828, tacc 23.8718, cvacc 24.4252
El 259: loss 30.4077, tacc 24.1051, cvacc 24.4106
El 260: loss 30.3341, tacc 23.9618, cvacc 25.2336
El 261: loss 32.0051, tacc 25.4314, cvacc 26.3012
El 262: loss 33.3743, tacc 26.9756, cvacc 25.2445
El 263: loss 32.0106, tacc 25.7087, cvacc 24.2979
El 264: loss 30.0234, tacc 23.5459, cvacc 24.2894
El 265: loss 31.5116, tacc 25.0281, cvacc 24.2817
El 266: loss 31.6254, tacc 25.2021, cvacc 26.2777
El 267: loss 30.4639, tacc 24.1084, cvacc 24.9142
El 268: loss 32.0049, tacc 25.7424, cvacc 25.1513
El 269: loss 31.4223, tacc 25.1128, cvacc 24.4039
El 270: loss 31.5168, tacc 25.1069, cvacc 24.3977
El 271: loss 31.0180, tacc 24.7651, cvacc 24.3664
           Current learning rate 5.6467e-03
El 272: loss 31.0310, tacc 24.4953, cvacc 25.4001
El 273: loss 32.2399, tacc 25.9115, cvacc 25.0344
El 274: loss 30.5431, tacc 24.2792, cvacc 24.4704
El 275: loss 37.4728, tacc 30.5931, cvacc 29.6037
El 276: loss 31.3563, tacc 25.0203, cvacc 24.2722
El 277: loss 30.9568, tacc 24.6494, cvacc 24.7319
El 278: loss 30.5902, tacc 24.3223, cvacc 24.2688
El 279: loss 33.6288, tacc 26.8156, cvacc 26.0468
El 280: loss 29.8120, tacc 23.5035, cvacc 24.3362
El 281: loss 30.8610, tacc 24.6144, cvacc 24.3107
           Current learning rate 5.4209e-03
El 282: loss 29.7838, tacc 23.5701, cvacc 24.2574
El 283: loss 32.6845, tacc 26.1532, cvacc 26.0137
El 284: loss 30.3700, tacc 23.8310, cvacc 26.3213
El 285: loss 31.1903, tacc 24.9171, cvacc 24.4908
El 286: loss 32.6012, tacc 25.8040, cvacc 25.4651
El 287: loss 29.6720, tacc 23.4380, cvacc 24.3331
El 288: loss 29.1440, tacc 22.8716, cvacc 24.2451
El 289: loss 30.5014, tacc 24.2087, cvacc 24.5503
El 290: loss 30.6847, tacc 24.3854, cvacc 25.4599
El 291: loss 30.4832, tacc 24.0518, cvacc 24.9239
El 292: loss 29.6569, tacc 23.4422, cvacc 24.2425
El 293: loss 30.1223, tacc 23.8710, cvacc 24.4379
El 294: loss 31.4480, tacc 25.1422, cvacc 24.3728
El 295: loss 29.7915, tacc 23.5237, cvacc 24.4357
El 296: loss 31.5040, tacc 25.3246, cvacc 24.2486
El 297: loss 29.7572, tacc 23.4117, cvacc 24.2411
El 298: loss 31.7387, tacc 25.4897, cvacc 24.3269
El 299: loss 31.6902, tacc 25.4160, cvacc 24.2153
El 300: loss 31.7649, tacc 25.6372, cvacc 26.4523
El 301: loss 30.8086, tacc 24.4829, cvacc 24.4505
           Current learning rate 5.2040e-03
El 302: loss 31.0366, tacc 24.2543, cvacc 24.6623
El 303: loss 33.3264, tacc 26.9379, cvacc 26.8732
El 304: loss 31.9329, tacc 25.7466, cvacc 24.2037
El 305: loss 31.6040, tacc 25.3715, cvacc 24.4171
El 306: loss 31.3414, tacc 25.2276, cvacc 24.7472
El 307: loss 30.2400, tacc 24.0070, cvacc 24.2043
El 308: loss 30.5195, tacc 24.2843, cvacc 24.2360
El 309: loss 32.3582, tacc 26.1372, cvacc 24.2411
El 310: loss 30.5407, tacc 24.3675, cvacc 24.2256
El 311: loss 31.3737, tacc 25.1731, cvacc 24.3661
El 312: loss 30.5703, tacc 24.3989, cvacc 24.9521
El 313: loss 31.1237, tacc 24.9092, cvacc 25.6311
El 314: loss 30.7039, tacc 24.3495, cvacc 24.2118
El 315: loss 29.8735, tacc 23.7106, cvacc 24.2367
El 316: loss 29.0710, tacc 22.7290, cvacc 24.5670
El 317: loss 30.3015, tacc 23.9450, cvacc 25.2780
El 318: loss 32.4200, tacc 26.0646, cvacc 24.3329
El 319: loss 30.0242, tacc 23.5960, cvacc 24.4395
El 320: loss 29.8872, tacc 23.7274, cvacc 24.2619
El 321: loss 29.3074, tacc 23.1660, cvacc 24.1823
El 322: loss 31.3099, tacc 25.2751, cvacc 25.1767
